Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Bitcoin,10/19/2024,10/20/2024,68471.68,68639.99,68042.04,68394.04,39854632469.93,1349788419169.20
Bitcoin,10/18/2024,10/19/2024,67399.86,68963.99,67194.06,68465.29,54278095716.08,1346659620373.54
Bitcoin,10/17/2024,10/18/2024,67701.14,67923.93,66803.61,67363.67,51428967058.61,1329511317965.19
Bitcoin,10/16/2024,10/17/2024,67045.13,68274.26,66793.33,67657.43,85047855179.66,1334134211358.13
Bitcoin,10/15/2024,10/16/2024,66091.69,67759.99,64989.97,66984.04,116765204875.63,1306322769726.01
Bitcoin,10/14/2024,10/15/2024,62827.65,66419.87,62484.15,66085.97,99886309610.81,1280877236512.72
Bitcoin,10/13/2024,10/14/2024,63279.91,63279.91,62055.98,62806.34,79286610370.28,1239946538823.58
Bitcoin,10/12/2024,10/13/2024,62575.79,63440.44,62499.99,63216.04,95040455893.51,1243769524960.39
Bitcoin,10/11/2024,10/12/2024,60290.3,63270.59,60113.2,62410.61,97531320750.41,1215919033598.90
Bitcoin,10/10/2024,10/11/2024,60603.9,61300.02,59017,60260.02,93419872142.50,1197203364464.98
Bitcoin,10/9/2024,10/10/2024,62130.05,62530.42,60439.87,60647.99,93092147716.20,1222680467455.69
Bitcoin,10/8/2024,10/9/2024,62319.44,63130.04,61912.01,62215.97,107240146136.86,1233787868452.85
Bitcoin,10/7/2024,10/8/2024,62845.99,64436.04,62213.98,62300.75,96095290446.23,1252777002071.78
Bitcoin,10/6/2024,10/7/2024,62000.06,62915.02,61839.92,62823.43,73632122102.43,1230673337023.35
Bitcoin,10/5/2024,10/6/2024,62198.05,62331.35,61723.39,62084,90303823443.85,1226360450088.77
Bitcoin,10/4/2024,10/5/2024,60788.37,62445.33,60488.64,62110.02,107180024237.33,1216589697085.40
Bitcoin,10/3/2024,10/4/2024,60546.49,61464.04,60077.99,60776.01,115063546329.84,1201370102458.98
Bitcoin,10/2/2024,10/3/2024,60816.01,62227.26,60005.98,60670.03,120577794899.04,1211075380344.10
Bitcoin,10/1/2024,10/2/2024,63344,64125.97,60395.96,60888.04,109318142902.61,1242375814515.03
Bitcoin,9/30/2024,10/1/2024,65540,65554.02,63022.02,63290,96312396819.74,1265376298243.40
Bitcoin,9/29/2024,9/30/2024,65860.6,66052,65438,65668.25,77961286117.23,1298644977839.39
Bitcoin,9/28/2024,9/29/2024,65816.87,66190.2,65436.71,65923.99,93228914145.22,1299293128680.70
Bitcoin,9/27/2024,9/28/2024,65107.96,66380.99,64850.01,65762.47,114291841891.13,1296411223739.25
Bitcoin,9/26/2024,9/27/2024,63140.63,65616.04,62792.05,65142.08,103723189296.07,1270017035677.31
Bitcoin,9/25/2024,9/26/2024,64208.02,64669.95,62957.27,63165.61,103767866644.80,1259728792995.54
Bitcoin,9/24/2024,9/25/2024,63346.7,64587.13,62752.04,64335.62,103073420384.88,1254924424630.19
Bitcoin,9/23/2024,9/24/2024,63467.95,64644.96,62842.02,63332.69,107862272444.62,1255023646422.68
Bitcoin,9/22/2024,9/23/2024,63359.99,63868.07,62476.04,63575.97,84841750994.45,1243803840310.36
Bitcoin,9/21/2024,9/22/2024,63112.9,63519.41,62823.98,63389.92,94051059382.05,1246516946650.58
Bitcoin,9/20/2024,9/21/2024,62935.88,64053.96,62400.04,63102.03,115934019619.80,1248769660324.15
Bitcoin,9/19/2024,9/20/2024,61831.96,63819.92,61592,62953.98,127035448554.82,1237744694233.04
Bitcoin,9/18/2024,9/19/2024,60313.98,61449.14,59216.01,61449.14,110043990808.47,1188172297080.90
Bitcoin,9/17/2024,9/18/2024,58267.94,61259.99,57620,60303.5,101668766635.32,1172633447284.57
Bitcoin,9/16/2024,9/17/2024,59191.96,59191.96,57549.78,58229.2,94703021874.56,1152253111991.20
Bitcoin,9/15/2024,9/16/2024,59999.98,60375.64,58855.95,59198.11,77829620369.19,1184977871771.24
Bitcoin,9/14/2024,9/15/2024,60560.04,60590.1,59530.84,59987.93,100482054719.07,1185546465171.99
Bitcoin,9/13/2024,9/14/2024,58153.97,60593.91,57688.82,60575.47,101420595997.81,1159355964877.58
